dataset	model	dataset_method	forget_set_size	patch_size	pretrain_iters	pretrain_lr	unlearn_method	exp_name	train_iters	k	factor	kd_T	gamma	alpha	msteps	delete_acc	delete_err	manip_acc	test_acc	manip_clean_acc	test_clean_acc	test_retain_acc	deletion_size	unlearn_time	train_clean_acc
CIFAR10	resnet9	randomlabelswap	2000	3	1000	0.025	Naive	pretrainmodel	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	0	27.201833140000005	0.89482
CIFAR10	resnet9	randomlabelswap	2000	3	1000	0.025	FlippingInfluence	unlearn	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	Null	250	0	0.82842
CIFAR10	resnet9	interclasslabelswap	2000	3	1000	0.025	FlippingInfluence	unlearn	Null	Null	Null	Null	Null	Null	Null	0.516	0.516	0.477	0.5245	Null	Null	0.84125	250	0	0.83006
CIFAR10	resnet9	interclasslabelswap	2000	3	1000	0.025	SwappingInfluence	unlearn	Null	Null	Null	Null	Null	Null	Null	0.408	0.408	0.555	0.643	Null	Null	0.8425	250	0	0.85828
CIFAR10	resnet9	interclasslabelswap	2000	3	1000	0.025	Naive	pretrainmodel	Null	Null	Null	Null	Null	Null	Null	0.0	101.0	0.701	0.7135	Null	Null	0.887625	0	27.430166348000007	0.90222
CIFAR10	resnet9	poisoning	2000	3	1000	0.025	FlippingInfluence	unlearn	Null	Null	Null	Null	Null	Null	Null	0.792	0.248	0.7535	0.7148	0.8195	0.8277	Null	250	0	0.87954
CIFAR10	resnet9	poisoning	2000	3	1000	0.025	SpectralSignature	unlearn	Null	Null	Null	Null	Null	Null	Null	0.18	0.904	0.158	0.1675	0.741	0.7451	Null	250	0	0.78102
CIFAR10	resnet9	poisoning	2000	3	1000	0.025	Naive	pretrainmodel	Null	Null	Null	Null	Null	Null	Null	0.0	101.0	0.1675	0.1562	0.858	0.86	Null	0	27.172208795999993	0.91222
CIFAR10	resnet9	poisoning	2000	3	1000	0.025	FlippingInfluence	unlearn	Null	Null	Null	Null	Null	Null	Null	0.758	0.268	0.766	0.7053	0.821	0.8346	Null	500	0	0.88642
CIFAR10	resnet9	poisoning	2000	3	1000	0.025	InfluenceFunction	unlearn	Null	Null	Null	Null	Null	Null	Null	0.192	0.908	0.1715	0.1661	0.7945	0.788	Null	250	0	0.82924
CIFAR10	resnet9	poisoning	2000	3	1000	0.025	ActivationClustering	unlearn	Null	Null	Null	Null	Null	Null	Null	0.168	0.916	0.155	0.1638	0.776	0.7823	Null	250	0	0.82188
